Word,Score
teels,7996.37
moyas,7995.88
volts,7993.98
gauds,7993.94
siree,7993.85
longs,7993.35
loops,7992.32
dirls,7991.74
sored,7991.45
tuans,7991.21
loess,7991.01
hears,7988.96
tunas,7988.63
labis,7987.86
jubes,7986.68
kangs,7986.4
sulks,7984.87
noels,7984.79
hooks,7984.71
honks,7982.29
bobos,7981.71
weals,7980.46
rials,7980.26
rotos,7978.82
meets,7978.54
fyles,7978.52
cowls,7977.01
lours,7976.75
bowls,7975.53
napas,7974.89
baths,7974.52
deets,7974.06
wakas,7973.65
nagas,7973.15
wawas,7973.15
tells,7973.06
peers,7972.49
fenis,7972.06
raree,7970.12
tamps,7970.05
golds,7968.85
rakis,7967.87
dagos,7967.59
mawns,7967.59
