Word,Score
fifty,4367.6
wedge,4367.22
ridge,4367.02
rearm,4365.5
spear,4364.74
after,4364.29
furor,4364.06
older,4364.03
touch,4363.25
rerun,4361.96
ounce,4358.53
plant,4355.92
friar,4354.83
piggy,4354.74
plead,4354.7
grimy,4352.07
risky,4351.15
lithe,4351.01
rayon,4349.05
motif,4346.6
slink,4346.27
whine,4343.42
smear,4340.25
sigma,4339.56
glory,4339.3
stint,4338.06
privy,4336.56
leash,4332.65
nutty,4327.21
remit,4325.96
laugh,4324.28
snarl,4324.06
while,4321.71
synod,4321.33
stilt,4316.35
magic,4315.73
sixth,4315.51
lasso,4315.18
gravy,4314.93
enter,4310.53
swear,4309.05
rebar,4308.04
spilt,4307.79
drove,4305.21
blind,4302.95
denim,4302.57
scold,4301.74
yeast,4301.54
setup,4300.97
these,4300.87
shark,4299.33
drain,4297.52
deign,4297.32
snort,4295.7
shaft,4295.5
wagon,4295.48
snowy,4295.19
shorn,4293.52
ulcer,4291.25
cleat,4289.67
pesto,4289.41
bleat,4288.19
alloy,4286.32
felon,4285.33
stood,4284.78
birch,4283.26
wield,4282.58
clove,4282.03
yearn,4281.83
grind,4281.65
style,4278.59
shunt,4278.46
befit,4277.87
trend,4277.78
newly,4275.95
stall,4268.77
leggy,4267.69
begin,4267.61
great,4266.89
glaze,4265.09
erode,4264.77
vocal,4264.69
topic,4259.75
bench,4259.36
grove,4259.25
vapor,4258.2
chard,4257.49
buddy,4256.81
reach,4255.83
slept,4255.81
atone,4255.33
amber,4255.21
prior,4252.94
spend,4252.5
grain,4251.56
latch,4250.52
dough,4248.46
chair,4246.11
whole,4245.77
pleat,4245.24
sight,4239.16
sling,4238.38
gland,4238.37
angel,4238.36
chant,4238.04
small,4235.72
gipsy,4235.23
reign,4234.05
medal,4233.26
clear,4230.21
olden,4229.95
plain,4229.91
blond,4227.01
joust,4223.19
decal,4221.46
sword,4217.32
debit,4217.14
swath,4216.5
study,4214.45
relax,4212.8
feign,4212.3
onset,4210.38
youth,4210.21
droit,4209.74
musky,4208.24
media,4206.59
pique,4206.46
leach,4205.05
dusky,4203.76
giddy,4197.51
ionic,4197.1
kayak,4193.9
froze,4193.37
grail,4192.14
shell,4191.88
strap,4189.24
dogma,4189.23
split,4187.26
irony,4187.17
buggy,4187.03
rough,4185.19
sharp,4184.81
groan,4183.87
shout,4181.79
plume,4181.51
broil,4180.78
bayou,4180.29
crank,4179.96
croak,4179.8
steal,4179.8
scram,4177.62
pudgy,4175.04
awake,4172.01
hatch,4170.25
datum,4168.97
tract,4168.72
frond,4166.65
amity,4165.19
alive,4164.17
sport,4163.55
theme,4162.87
agile,4161.11
slack,4160.21
bushy,4159.91
tidal,4157.36
fussy,4155.29
frail,4153.08
resin,4151.86
beech,4151.26
chart,4148.03
juicy,4145.7
unset,4144.92
spent,4143.04
maxim,4142.69
puppy,4142.37
artsy,4141.24
scrap,4141.11
blood,4140.21
hymen,4139.24
query,4138.28
squad,4138.04
fecal,4136.44
prank,4135.53
blast,4135.03
fudge,4134.61
regal,4134.55
octet,4131.51
gloat,4128.75
belch,4127.95
inter,4127.79
cheat,4127.36
unmet,4125.48
below,4125.39
mambo,4125.12
abase,4123.51
hyper,4122.98
spelt,4121.33
child,4120.41
slosh,4120.24
otter,4120.18
proxy,4119.46
whiny,4117.78
pushy,4116.96
blend,4116.49
islet,4116.36
chain,4112.03
dumpy,4111.66
straw,4110.31
hello,4109.27
skirt,4107.7
broth,4103.52
scent,4103.47
bingo,4103.06
globe,4101.96
minim,4099.0
bigot,4098.77
kappa,4098.76
flair,4097.92
smelt,4096.84
strut,4096.37
clean,4096.13
filth,4094.93
shirk,4093.95
watch,4093.45
elide,4092.05
inane,4091.8
shift,4090.12
float,4089.69
mummy,4087.35
sneak,4087.3
craft,4086.12
depot,4084.56
legal,4083.77
dummy,4082.87
tibia,4079.72
fugue,4077.97
bison,4076.75
rigid,4075.29
stank,4074.39
wispy,4070.64
creak,4069.28
sloop,4069.01
spoil,4068.13
break,4067.8
brunt,4067.6
limit,4067.13
where,4066.95
spank,4065.83
sheik,4065.03
annoy,4064.06
idler,4063.87
still,4063.39
fishy,4061.55
mucky,4060.36
queue,4058.65
front,4057.19
spill,4054.83
utter,4054.72
yield,4053.24
anime,4053.02
cinch,4052.79
fraud,4052.69
jazzy,4052.69
stalk,4052.68
relic,4051.73
wimpy,4051.2
mocha,4050.95
anode,4048.14
decor,4047.0
hussy,4045.99
viola,4044.54
ahead,4043.02
smith,4042.32
polyp,4042.28
demon,4041.36
embed,4038.43
proud,4037.44
muddy,4037.29
gummy,4036.91
afire,4032.91
crash,4029.87
unite,4029.55
digit,4029.1
toxic,4028.81
squat,4028.58
brash,4028.39
lipid,4026.25
stein,4025.59
metro,4023.07
ester,4022.94
shook,4021.22
druid,4020.59
fluke,4016.89
agape,4015.15
mogul,4013.31
upset,4012.77
glove,4010.59
adage,4010.02
scion,4009.59
husky,4009.44
pinch,4008.36
adore,4008.29
logic,4007.33
lilac,4006.53
tutor,4005.65
troll,4004.17
whose,4003.64
cumin,4002.46
acute,4001.2
swill,3999.14
shack,3997.9
lumpy,3997.61
arena,3997.37
ovate,3994.73
crest,3993.33
ditto,3993.16
unwed,3991.58
cream,3991.27
refit,3990.6
snout,3990.43
stark,3984.38
macho,3981.43
verso,3980.6
twice,3980.53
hippy,3977.66
chord,3976.17
spark,3975.82
strip,3975.61
elope,3973.84
sprig,3973.68
spoon,3973.22
brink,3973.1
slunk,3971.72
argue,3971.07
groin,3970.24
ruddy,3969.54
china,3966.66
choir,3964.79
tunic,3964.33
steak,3963.71
stunt,3963.51
third,3963.26
juror,3962.75
pupal,3961.9
drama,3955.69
retro,3955.32
speak,3955.15
slick,3954.83
drank,3954.48
ninth,3948.96
quart,3948.4
guest,3945.49
under,3944.9
drill,3943.48
lucky,3941.83
trash,3941.02
mushy,3940.39
pivot,3937.04
shawl,3933.19
dryly,3933.04
clank,3931.3
cloak,3931.14
swirl,3930.84
scorn,3930.44
blank,3929.82
lemon,3927.31
stash,3924.3
glint,3923.53
skill,3923.04
stool,3922.36
claim,3920.82
swoon,3917.53
flume,3915.44
guppy,3915.36
sworn,3914.32
spool,3913.8
villa,3910.71
depth,3908.67
livid,3905.73
flail,3904.42
junta,3903.67
unfed,3899.58
gnome,3899.44
grill,3897.52
young,3895.96
tubal,3895.73
tumor,3893.36
smash,3891.25
guava,3890.81
awoke,3890.69
scalp,3890.03
wrath,3889.72
plank,3886.87
steam,3885.7
humid,3885.66
flint,3884.47
crept,3884.12
trout,3883.56
civil,3882.84
agony,3881.24
audit,3881.08
dingo,3879.06
vodka,3877.42
cycle,3875.13
error,3871.46
opine,3870.25
ember,3869.51
frank,3869.46
stink,3869.01
spell,3868.37
helix,3868.12
stern,3868.05
droll,3867.54
demur,3866.96
stout,3866.84
devil,3865.41
bring,3865.21
spurt,3864.94
weigh,3864.44
slung,3863.83
niche,3861.93
draft,3860.64
swash,3860.05
frill,3858.46
spout,3858.28
nudge,3857.23
cloth,3856.34
turbo,3853.59
quail,3852.98
tulip,3852.57
abide,3851.19
smell,3843.88
